,Feature1,Beta,Count,Node
68,RH_SomMot_4,1.5287471627547103e-05,1.0,62
55,RH_DorsAttn_Post_2,7.952638511398786e-05,1.0,68
21,LH_DorsAttn_PrCv_1,9.654643038045693e-05,2.0,22
14,LH_DorsAttn_FEF_1,0.0001352460487357,1.0,23
65,RH_SalVentAttn_TempOccPar_1,0.0001914669478583,1.0,74
52,RH_Default_pCunPCC_2,0.0004749630065143,1.0,100
10,LH_Default_Temp_1,0.0005122376127396,4.0,38
66,RH_SalVentAttn_TempOccPar_2,0.0005174512295282348,2.0,75
43,RH_Default_PFCdPFCm_2,0.0005601988573611,3.0,97
56,RH_DorsAttn_Post_3,0.0006042684083431,5.0,69
36,LH_Vis_7,0.0006610391255284,1.0,7
64,RH_SalVentAttn_Med_2,0.0006826828108061235,3.0,78
19,LH_DorsAttn_Post_5,0.0007557938090616903,7.0,20
3,LH_Default_PFC_2,0.0007856678111361,8.0,43
60,RH_Limbic_OFC_1,0.0009089402360077,10.0,79
18,LH_DorsAttn_Post_4,0.0009536322780092174,7.0,19
28,LH_SalVentAttn_Med_2,0.0009824425559599,2.0,29
25,LH_SalVentAttn_FrOperIns_1,0.0009958231901786001,2.0,25
13,LH_Default_pCunPCC_2,0.0010111570204941775,6.0,50
32,LH_SomMot_1,0.0011225265887576,2.0,10
11,LH_Default_Temp_2,0.0011422731139002001,10.0,39
73,RH_Vis_3,0.0011821231672836,3.0,53
49,RH_Default_Temp_2,0.0012402036038454,20.0,92
39,RH_Cont_PFCl_3,0.0014253243041569001,6.0,85
61,RH_Limbic_TempPole_1,0.00153747384858,8.0,80
37,LH_Vis_9,0.0017469451564542271,15.0,9
74,RH_Vis_8,0.0018348096238788001,8.0,58
62,RH_SalVentAttn_FrOperIns_1,0.0018447744651085998,5.0,76
69,RH_SomMot_6,0.0020151848440887,5.0,64
57,RH_DorsAttn_Post_4,0.0020268387546134,16.0,70
48,RH_Default_Temp_1,0.0028207028180994003,21.0,91
41,RH_Cont_Par_2,0.0028754440080836453,25.0,82
63,RH_SalVentAttn_Med_1,0.0031831632018313,2.0,77
30,LH_SalVentAttn_PFCl_1,0.0036535728710987156,26.0,27
6,LH_Default_PFC_5,0.0036995056334192004,34.0,46
27,LH_SalVentAttn_Med_1,0.004331767836632035,16.0,28
31,LH_SalVentAttn_ParOper_1,0.004668330591695566,30.0,24
16,LH_DorsAttn_Post_2,0.004714748035842938,51.0,17
5,LH_Default_PFC_4,0.005134744573856501,37.0,45
15,LH_DorsAttn_Post_1,0.0052462414051637,33.0,16
59,RH_DorsAttn_PrCv_1,0.005373710702245786,10.0,72
0,LH_Cont_Cing_1,0.006014367047310299,26.0,37
20,LH_DorsAttn_Post_6,0.0063924320093605,27.0,21
26,LH_SalVentAttn_FrOperIns_2,0.006501285285791,1.0,26
2,LH_Default_PFC_1,0.0065194231335861,27.0,42
17,LH_DorsAttn_Post_3,0.0066716804813829675,51.0,18
42,RH_Cont_pCun_1,0.009993950951761175,62.0,89
35,LH_Vis_1,0.0103328744254843,6.0,1
33,LH_SomMot_5,0.010944719936035699,9.0,14
46,RH_Default_PFCv_2,0.011242005837414847,28.0,95
29,LH_SalVentAttn_Med_3,0.0116740275128521,33.0,30
53,RH_DorsAttn_FEF_1,0.0119827275466743,38.0,73
70,RH_SomMot_7,0.012628180462427379,13.0,65
51,RH_Default_pCunPCC_1,0.0127722414071105,26.0,99
47,RH_Default_Par_1,0.014092884002656134,77.0,90
9,LH_Default_Par_2,0.014179183377398,85.0,41
50,RH_Default_Temp_3,0.017124733269184095,51.0,93
38,RH_Cont_Cing_1,0.01779210064211447,35.0,87
4,LH_Default_PFC_3,0.019082589353179302,28.0,44
72,RH_Vis_1,0.0196169832631534,83.0,51
44,RH_Default_PFCdPFCm_3,0.02030486259143747,67.0,98
1,LH_Cont_Par_1,0.023113933572761175,86.0,34
22,LH_Limbic_OFC_1,0.0312730323630385,59.0,31
7,LH_Default_PFC_6,0.03145868496506641,190.0,47
23,LH_Limbic_TempPole_1,0.0372200592224197,56.0,32
24,LH_Limbic_TempPole_2,0.03862699342814519,160.0,33
58,RH_DorsAttn_Post_5,0.0397075400034701,38.0,71
45,RH_Default_PFCv_1,0.0398955361948539,27.0,94
8,LH_Default_PFC_7,0.04210568699670212,169.0,48
40,RH_Cont_Par_1,0.0787095087070444,122.0,81
67,RH_SomMot_2,0.0862339950921003,27.0,60
54,RH_DorsAttn_Post_1,0.12089368804879767,49.0,67
71,RH_SomMot_8,0.130205172884139,48.0,66
34,LH_SomMot_6,0.44580036784965527,100.0,15
12,LH_Default_pCunPCC_1,0.53514776775146,102.0,49
